country,year,current_account_pct_gdp,gdp_growth,govt_debt_pct_gdp,inflation_pct,unemployment_pct
Bangladesh,2000,-0.546,5.293,,3.623,
Bangladesh,2001,-1.628,5.077,,1.812,
Bangladesh,2002,0.241,3.833,,2.407,
Bangladesh,2003,0.245,4.74,37.044,3.881,
Bangladesh,2004,0.228,5.24,36.585,8.139,
Bangladesh,2005,-0.7,6.536,35.558,6.486,
Bangladesh,2006,0.665,6.672,35.332,7.163,
Bangladesh,2007,1.003,7.059,34.989,7.205,
Bangladesh,2008,0.253,6.014,33.87,9.937,
Bangladesh,2009,1.699,5.045,33.01,6.655,
Bangladesh,2010,2.346,5.572,29.623,7.316,
Bangladesh,2011,-1.445,6.464,29.393,8.787,
Bangladesh,2012,-0.28,6.521,29.078,8.889,
Bangladesh,2013,1.329,6.014,28.344,6.777,
Bangladesh,2014,0.679,6.061,28.683,7.349,
Bangladesh,2015,1.23,6.553,28.206,6.405,
Bangladesh,2016,1.607,7.114,27.72,5.916,
Bangladesh,2017,-0.453,6.59,28.306,5.44,
Bangladesh,2018,-2.977,7.319,29.553,5.783,
Bangladesh,2019,-1.278,7.882,31.951,5.475,
Bangladesh,2020,-1.454,3.448,34.509,5.648,
Bangladesh,2021,-1.099,6.939,35.614,5.558,
Bangladesh,2022,-3.954,7.1,37.863,6.15,
Bangladesh,2023,-2.576,5.775,39.726,9.016,
Bangladesh,2024,-1.446,4.223,40.972,9.728,
Brunei Darussalam,2000,45.089,10.964,,1.558,
Brunei Darussalam,2001,31.441,1.466,,0.596,
Brunei Darussalam,2002,27.116,3.961,,-2.315,
Brunei Darussalam,2003,34.188,3.583,,0.3,
Brunei Darussalam,2004,33.042,0.105,,0.814,
Brunei Darussalam,2005,38.183,-0.004,,1.244,
Brunei Darussalam,2006,41.145,4.098,0.594,0.16,
Brunei Darussalam,2007,35.579,-3.764,0.685,0.968,
Brunei Darussalam,2008,43.508,-3.901,0.942,2.085,
Brunei Darussalam,2009,33.445,-1.9,1.11,1.036,
Brunei Darussalam,2010,36.586,2.743,1.113,0.285,
Brunei Darussalam,2011,34.713,3.744,2.129,0.138,9.3
Brunei Darussalam,2012,29.835,0.913,2.101,0.112,8.495
Brunei Darussalam,2013,20.881,-2.125,2.209,0.383,7.702
Brunei Darussalam,2014,30.718,-2.508,3.231,-0.201,6.9
Brunei Darussalam,2015,16.675,-0.392,2.953,-0.463,7.647
Brunei Darussalam,2016,12.891,-2.478,3.005,-0.279,8.342
Brunei Darussalam,2017,16.36,1.329,2.582,-1.261,9.0
Brunei Darussalam,2018,6.93,0.052,1.899,0.919,7.7
Brunei Darussalam,2019,6.634,3.869,1.821,-0.285,6.7
Brunei Darussalam,2020,4.278,1.134,2.158,1.937,7.3
Brunei Darussalam,2021,11.137,-1.591,1.434,1.736,4.9
Brunei Darussalam,2022,19.513,-1.628,1.326,3.683,5.2
Brunei Darussalam,2023,12.874,1.128,1.672,0.357,5.2
Brunei Darussalam,2024,14.54,4.053,1.568,-0.389,4.8
Cambodia,2000,-2.545,10.712,34.128,-0.826,
Cambodia,2001,-0.935,5.541,33.633,-0.117,
Cambodia,2002,-2.153,8.658,37.753,-0.036,
Cambodia,2003,-3.273,7.948,39.634,1.027,
Cambodia,2004,-1.936,8.256,38.101,3.925,
Cambodia,2005,-3.364,14.118,31.285,6.349,
Cambodia,2006,-0.56,10.858,26.627,6.143,
Cambodia,2007,-1.421,9.804,25.292,7.668,
Cambodia,2008,-5.57,9.042,22.711,24.997,
Cambodia,2009,-8.05,5.295,23.111,-0.662,
Cambodia,2010,-7.236,5.267,23.531,3.996,
Cambodia,2011,-6.531,8.77,23.738,5.478,
Cambodia,2012,-6.961,9.115,24.962,2.934,
Cambodia,2013,-7.121,7.832,24.555,2.942,
Cambodia,2014,-7.213,5.84,24.026,3.856,
Cambodia,2015,-7.288,6.834,23.396,1.221,
Cambodia,2016,-6.867,7.357,22.025,3.022,
Cambodia,2017,-6.51,7.58,22.853,2.913,
Cambodia,2018,-8.99,8.731,21.308,2.46,
Cambodia,2019,-8.347,7.883,21.242,1.942,
Cambodia,2020,-0.98,-2.958,25.52,2.94,
Cambodia,2021,-30.097,2.904,26.391,2.921,
Cambodia,2022,-19.189,5.503,25.283,5.339,
Cambodia,2023,1.308,5.007,26.278,2.132,
Cambodia,2024,0.495,6.02,26.138,0.802,
"China, People's Republic of",2000,1.674,8.572,22.708,0.352,
"China, People's Republic of",2001,1.288,8.319,24.252,0.724,
"China, People's Republic of",2002,2.383,9.214,25.553,-0.766,
"China, People's Republic of",2003,2.561,10.121,26.418,1.162,
"China, People's Republic of",2004,3.484,10.115,26.0,3.893,
"China, People's Republic of",2005,5.69,11.437,25.91,1.809,
"China, People's Republic of",2006,8.284,12.665,25.174,1.467,
"China, People's Republic of",2007,9.774,14.154,28.708,4.774,
"China, People's Republic of",2008,9.034,9.638,26.715,5.845,
"China, People's Republic of",2009,4.699,9.445,33.985,-0.692,
"China, People's Republic of",2010,3.874,10.587,33.343,3.33,
"China, People's Republic of",2011,1.784,9.451,33.184,5.416,
"China, People's Republic of",2012,2.481,7.848,33.825,2.621,
"China, People's Republic of",2013,1.514,7.771,36.438,2.625,
"China, People's Republic of",2014,2.206,7.491,39.308,1.995,
"China, People's Republic of",2015,2.592,7.018,40.782,1.442,
"China, People's Republic of",2016,1.671,6.776,50.033,1.996,
"China, People's Republic of",2017,1.507,6.891,53.891,1.579,5.0
"China, People's Republic of",2018,0.171,6.759,55.875,2.092,4.93
"China, People's Republic of",2019,0.705,6.065,59.838,2.905,5.15
"China, People's Republic of",2020,1.647,2.337,70.134,2.49,5.617
"China, People's Republic of",2021,1.941,8.556,72.131,0.919,5.117
"China, People's Republic of",2022,2.418,3.112,77.294,1.976,5.583
"China, People's Republic of",2023,1.434,5.377,84.084,0.228,5.217
"China, People's Republic of",2024,2.238,5.003,90.421,0.212,5.117
India,2000,-0.569,3.841,74.941,3.817,
India,2001,0.7,4.824,80.11,4.441,
India,2002,1.232,3.804,84.304,4.993,
India,2003,2.317,7.86,85.883,4.107,
India,2004,-0.348,7.923,84.89,3.996,
India,2005,-1.207,7.923,82.378,3.674,
India,2006,-1.017,8.061,77.893,6.738,
India,2007,-1.293,7.661,75.414,5.918,
