country,baseline_2020,shock_depth_2020,recovery_speed_2020,recovery_strength_2020,shock_depth_score,recovery_speed_score,recovery_strength_score,resilience_2020
Bangladesh,7.26385925975305,3.8158417085286,4.0,6.437470572915235,96.83344889759437,0.0,91.96350287145346,62.93231725634928
Brunei,1.7499806714006245,3.3407432723966846,3.0,-0.250343681761945,100.0,33.33333333333334,36.68708543520113,56.67347292284483
Cambodia,8.262737684496553,11.818459618562043,4.0,5.068615772929375,43.49566321372107,0.0,80.64958378634746,41.38174900002284
China,6.572141124007543,4.232637271977313,4.0,4.27492886443512,94.05548889911135,0.0,74.08956773372837,56.048352210946575
India,5.706890568227471,11.484615275100502,1.0,7.4097948035141,45.72074983456296,100.0,100.0,81.90691661152098
Indonesia,5.087788373787407,7.1533002031290565,1.0,5.178014202601575,74.58914735589079,100.0,81.55378851380411,85.38097862323163
Laos,6.199408657580807,5.6963768285621255,4.0,3.2265539640069347,84.2996030572741,0.0,65.4244932536425,49.90803210363887
Malaysia,5.022998935825984,10.479845520092994,1.0,6.284400517275104,52.41758260312936,100.0,90.69834149430595,81.03864136581177
Myanmar,6.328026841989313,18.344399324907013,4.0,2.4979700305673074,0.0,0.0,59.40256918271156,19.800856394237186
Nepal,7.752236963839557,10.121857593046757,4.0,3.8069314957317952,54.803587226224806,0.0,70.2214552344285,41.6750141535511
Philippines,6.463666519862653,15.981961260315622,1.0,6.5499659032080295,15.745749278197579,100.0,92.89330423855105,69.54635117224954
Singapore,2.8907272218156095,6.501570039114899,1.0,2.730273301809305,78.93295636972854,100.0,61.322612429127865,80.0851895996188
Sri Lanka,2.8500938796781488,7.474608916805298,3.0,-4.68906139025048,72.44761123594967,33.33333333333334,0.0,35.26031485642767
Thailand,3.505036371947863,9.598099501617394,4.0,2.443338257684365,58.29445698221159,0.0,58.95102424318994,39.081827075133845
Vietnam,7.254819976789876,4.7010914503085655,1.0,6.7580800035068345,90.93322205500522,100.0,94.61341808208992,95.18221337903172
