country,resilience_2008,resilience_2020,resilience_score
Bangladesh,59.47921436717098,62.93231725634928,61.20576581176013
Brunei,50.629565171354784,56.67347292284483,53.65151904709981
Cambodia,17.20206011885775,41.38174900002284,29.291904559440297
China,51.66444173487964,56.048352210946575,53.8563969729131
India,64.4627439426704,81.90691661152098,73.1848302770957
Indonesia,75.62014444416126,85.38097862323163,80.50056153369644
Laos,89.15626610661599,49.90803210363887,69.53214910512743
Malaysia,52.25185928811455,81.03864136581177,66.64525032696316
Myanmar,43.29010641281689,19.800856394237183,31.545481403527035
Nepal,70.7662838796876,41.6750141535511,56.220649016619355
Philippines,61.10740901410323,69.54635117224954,65.32688009317638
Singapore,66.66666666666667,80.0851895996188,73.37592813314274
Sri Lanka,77.07966117147264,35.26031485642767,56.16998801395015
Thailand,48.82894984107708,39.081827075133845,43.95538845810546
Vietnam,56.46710380027317,95.18221337903172,75.82465858965244
