country,attractiveness_score,risk_score,resilience_score,attractiveness_high,risk_high,classification,demand_potential_score,economic_momentum_score,business_capacity_score,attractiveness_components_available
Bangladesh,31.721168801466224,10,61.20576581176013,False,True,Elevated Risk / Low Priority,43.55837302146224,37.872074604428505,13.733058778507946,3
Brunei,63.28083906943803,10,53.65151904709981,True,True,Investigate,61.0488102329312,32.1251595530855,96.6685474222974,3
Cambodia,44.65679908803588,0,29.291904559440297,True,False,Priority Market,30.16715986130889,60.95225380171947,42.85098360107926,3
China,62.15741812152996,10,53.8563969729131,True,True,Investigate,40.15617203423216,57.96164623080959,88.35443609954814,3
India,44.34117196018673,0,73.1848302770957,False,False,Watch,40.24627876466311,56.75777250201559,36.019464613881475,3
Indonesia,46.75371234422352,20,80.50056153369644,True,True,Investigate,44.58083948849077,44.50134583265509,51.17895171152471,3
Laos,38.23417618615062,0,69.53214910512743,False,False,Watch,33.32791888737735,44.09940679200922,37.2752028790653,3
Malaysia,62.51573012448743,0,66.64525032696316,True,False,Priority Market,56.5069011900829,31.040289183379368,100.0,3
Myanmar,11.527947676912616,0,31.545481403527035,False,False,Watch,20.18268836035109,2.8732069934741413,,2
Nepal,16.772501358402003,10,56.22064901661936,False,True,Elevated Risk / Low Priority,18.591798363859187,31.725705711346823,0.0,3
Philippines,39.07066405283623,0,65.32688009317638,False,False,Watch,42.48499936729791,34.22093151470553,40.50606127650524,3
Singapore,82.97004361931205,0,73.37592813314274,True,False,Priority Market,95.84701419683972,60.10978062493215,92.95333603616432,3
Sri Lanka,22.48823241431021,0,56.16998801395015,False,False,Watch,17.36729696307677,34.10454252508724,15.992857754766629,3
Thailand,46.9243347221046,0,43.95538845810546,True,False,Priority Market,34.76415923315767,19.84558959403788,86.16325533911824,3
Vietnam,57.14060076797373,0,75.82465858965244,True,False,Priority Market,43.33502300585896,54.916475516250905,73.17030378181131,3
